id,category,prompt,expected_keywords
1,Взыскание,"Составь скрипт первого звонка должнику по просрочке 30+ дней. Тон: строгий, но в рамках 230-ФЗ. Упомяни последствия неисполнения.","['рефинансирование', 'реструктуризация', 'судебный приказ', 'исполнительное производство']"
2,Комплаенс,Объясни простыми словами разницу между персональными данными и обезличенными данными согласно 152-ФЗ. Приведи пример для финтеха.,"['обезличивание', 'оператор', 'субъект', 'обработка']"
3,Кредитный скоринг,"Перечисли 5 основных факторов, которые банк учитывает при расчете кредитного рейтинга физического лица.","['платежная дисциплина', 'долговая нагрузка', 'стаж', 'кредитная история']"
4,Операционная эффективность,Как автоматизация рутинных запросов в чат-боте влияет на метрики First Call Resolution и CSAT в колл-центре?,"['автоответ', 'эскалация', 'удовлетворенность', 'оператор']"
5,Договорная работа,На что обратить внимание в договоре оферты при подключении эквайринга для интернет-магазина?,"['комиссия', 'chargeback', 'возврат средств', 'сроки зачисления']"
6,Взыскание,Какие действия коллекторского агентства являются нарушением 230-ФЗ при взаимодействии с должником?,"['ночные звонки', 'угрозы', 'разглашение третьим лицам', 'частота контактов']"
7,Финмониторинг,Что такое подозрительная операция по 115-ФЗ и какие шаги должен предпринять банк при её выявлении?,"['блокировка счета', 'запрос документов', 'Росфинмониторинг', 'подозрительный характер']"
8,Клиентский опыт,"Сформулируй ответ клиенту, который требует вернуть деньги за подписку, которую он забыл отменить. Ссылка на политику возвратов.","['персональное решение', 'лояльность', 'правила сервиса', 'компенсация']"
9,Юридическая оценка,В чем разница между неустойкой и пеней в договоре займа? Когда что применяется?,"['ГК РФ', 'фиксированная сумма', 'процент от долга', 'просрочка']"
10,Аналитика,Как рассчитать коэффициент миграции просрочки (Roll Rate) для портфеля МФО за квартал?,"['bucket', 'переход', '30+', '60+', 'портфель']"
